max_gray_scale,min_gray_scale,mean_gray_scale,std_gray_scale,mean_luminance,std_luminance,mean_red,std_red,mean_green,std_green,mean_blue,std_blue,ntu
255,0,128.3070048,25.73288188,43.13772505,35.56066739,131.0917097,6.66713202,129.0110774,6.965865668,128.4536714,8.184096596,0
225,0,129.7974023,22.58244922,42.95857621,35.27059981,131.8132085,6.771813071,128.1344725,6.036819299,127.5687781,6.943651351,1
255,0,131.8984905,22.17136927,43.70473011,36.07784592,132.3264366,6.211634446,130.828685,6.145089517,130.3727754,7.202590505,0
255,0,130.6057585,24.07699537,43.59167971,35.96288023,132.3408128,6.419642849,130.4277072,6.610412286,129.6050715,7.712398434,0
207,29,130.631807,18.78180188,43.36398975,35.82803385,131.1277207,5.455506318,129.8763122,5.349851984,129.1783567,6.47162918,1
255,0,131.490434,26.09226959,43.38947151,35.73895197,132.0424448,6.703214826,129.6990339,7.085842706,129.299747,8.290028206,1
252,0,129.4282819,20.61453908,43.43718932,35.6959815,132.9496072,6.312038365,129.6427352,5.738676925,129.1689371,6.623379022,1
215,0,131.4194828,20.72709553,43.86966392,36.09683207,133.8005425,5.848240347,131.0469281,5.819106417,130.7234554,6.932640701,0
232,0,131.0111742,18.83722922,43.84480494,36.09588559,133.6740105,5.592222517,131.0111134,5.382984151,130.4178928,6.542099405,1
233,0,130.5100874,22.85622772,43.27283114,35.54580064,132.5176174,6.479440214,129.1202563,6.278945594,128.7872671,7.403394666,1
195,57,132.2862121,15.79801409,43.72518681,36.04911055,133.1808043,5.25434303,130.7551796,3.605561952,129.4351384,3.683926936,3
221,33,130.6351623,18.31277768,43.36581889,35.8407275,131.3029934,5.95466314,129.8906771,4.255657034,128.5959554,4.234450484,4
208,52,130.3096039,16.53689477,43.82407632,36.1591486,133.3906729,5.622481602,131.1082314,3.83853175,129.4288753,3.566608349,4
216,45,130.1760082,16.92385655,43.81916589,36.18560839,133.0392728,5.661933507,131.1708357,3.915059379,129.6394267,3.817518733,3
208,37,131.5908988,17.75468783,43.68950556,36.09358811,132.2350874,5.900509703,130.8370113,4.099945693,129.926684,4.064859409,3
223,33,130.9049373,17.81608189,43.37980563,35.82106855,131.8233506,5.934285438,129.8446708,4.130614651,128.1006093,4.090809803,3
204,52,131.6783852,17.08937184,43.69195263,36.07015074,132.7425393,5.573149916,130.765362,3.998105633,129.2438664,3.975510962,3
222,47,130.961691,17.29023628,43.62145656,35.98218311,132.7127422,5.515415664,130.48857,4.043488958,129.1442583,4.166776705,3
204,39,130.5534886,16.97043062,43.60141113,35.99076783,132.6638197,5.631159719,130.4729321,3.969832182,128.6103086,3.834736358,4
225,34,130.3069131,17.74153269,43.57961824,35.98506121,132.1954227,5.831032591,130.4566077,4.115194739,129.2457337,4.026760442,3
187,36,115.8483974,16.03116236,38.37128575,31.66894081,116.8673139,4.924140687,114.8061583,3.82501461,112.998641,4.036873166,8
177,41,116.3780397,15.67184471,38.61788158,31.73368797,118.4024766,5.059462456,115.2419066,3.64170326,114.4081252,3.685205393,8
184,41,116.1205752,14.84303827,38.60055402,31.71954451,118.2196483,4.763601829,115.1991498,3.473459958,114.6500397,3.561108255,8
183,41,116.7450426,15.43548071,38.4209754,31.610682,117.4745333,4.904247528,114.7458834,3.583888667,113.8723634,3.785980223,8
186,27,116.5669949,15.42547978,38.39744092,31.58625252,117.58094,4.860217174,114.6544501,3.646496972,113.4868734,3.804350465,7
180,39,114.2876305,14.9879733,38.46847002,31.66573221,117.6299322,4.804937813,114.9157234,3.546757247,113.7058319,3.55901944,8
183,44,115.0447189,16.09115028,38.50056453,31.62498547,118.161329,4.955350952,114.8616961,3.77020655,114.0098335,4.076693519,7
187,49,117.2614735,15.06434419,38.68310053,31.77013547,118.8861845,4.659996047,115.3864777,3.608995093,114.2616325,3.773917253,7
179,41,116.4199472,15.24255174,38.61514412,31.72332353,118.4854457,4.801875794,115.2129747,3.573823613,114.3366639,3.801914518,8
183,38,117.557161,15.36028543,38.72479993,31.83726639,118.6368696,4.891645837,115.5955135,3.587626676,114.6577572,3.727297342,8
186,24,112.5808656,16.68134638,37.58584796,31.037068,114.5881921,5.027436966,112.4779517,4.025538938,110.1366087,3.949674375,15
213,25,110.8409661,16.55117293,37.19774981,30.75269081,113.1948041,4.965592879,111.3955069,4.008639615,108.8361153,3.973694922,14
200,0,113.9214918,17.02134487,37.44904103,30.95489203,114.0226543,5.064003216,112.133836,4.12439907,109.5261392,4.095091578,14
199,32,113.6016288,17.02414267,37.44325465,30.99804151,113.5874313,5.017134855,112.2305771,4.136794958,109.608966,4.062947434,13
193,0,113.9049747,16.28996057,37.44806995,30.96497744,113.9870282,4.835969287,112.1526791,3.971019275,109.4040385,3.993890672,13
207,1,111.1170469,18.27231429,37.22747064,30.82208748,113.0440231,5.24900097,111.5811981,4.452986701,108.6756196,4.561411862,14
213,0,110.0815128,17.29396465,37.15073748,30.73425743,112.77995,5.073211729,111.3096198,4.215986363,108.9550552,4.219759291,15
197,21,111.2483759,17.13315267,37.24866794,30.82207517,113.0617719,5.045624304,111.6162897,4.162312526,109.1565194,4.198403477,15
191,25,111.8126506,17.68268717,37.04292009,30.64809969,112.4586869,5.191593333,110.9916372,4.301106067,108.5709764,4.242002636,14
